Route,Matched_Trips,Status
1,287,Success
10,3,Success
11,660,Success
12,2,Success
13,98,Success
14,119,Success
16,75,Success
17,149,Success
18,60,Success
19,160,Success
2,4,Success
20,296,Success
203,0,Skipped (No System Data)
204,0,Skipped (No System Data)
21,168,Success
22,168,Success
23,60,Success
231,0,Skipped (No System Data)
24,9,Success
242,0,Skipped (No System Data)
27,175,Success
28,164,Success
281,0,Skipped (No System Data)
282,0,Skipped (No System Data)
29,61,Success
3,107,Success
30,124,Success
31,344,Success
32,0,Skipped (No System Data)
33,194,Success
34,96,Success
35,77,Success
4,80,Success
40,0,Skipped (No System Data)
50,215,Success
51,187,Success
54,209,Success
55,170,Success
56,0,Skipped (No System Data)
57,150,Success
58,72,Success
59,2,Success
6,62,Success
60,310,Success
61,6,Success
63,55,Success
64,27,Success
65,5,Success
66,172,Success
67,66,Success
68,10,Success
69,59,Success
7,7,Success
71,92,Success
72,269,Success
73,27,Success
75,62,Success
76,6,Success
78,133,Success
80,12,Success
87,71,Success
89,0,Matched 0
9,8,Success
92,228,Success
95,4,Success
999,0,Skipped (No System Data)
